sensor_id	sensor_type	location	lat	lon	timestamp	temperature	humidity				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:01:04	8.50	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:03:42	8.50	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:06:15	8.40	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:08:57	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:11:28	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:13:58	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:16:30	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:19:01	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:21:31	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:24:05	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:26:40	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:29:26	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:31:55	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:34:27	8.20	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:37:03	8.20	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:39:38	8.20	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:42:16	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:44:47	8.30	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:47:20	8.20	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:50:07	8.20	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:52:40	8.10	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:55:11	8.10	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T00:57:41	8.00	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:00:10	8.00	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:02:40	7.90	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:05:09	7.90	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:07:38	7.80	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:10:07	7.80	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:12:37	7.70	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:15:06	7.60	99.90				
8806	DHT22	4439	50.889	4.692	2019-02-10T01:17:36	7.50	99.90				
